diputadoID,nombre,distrito
313,"CARRIO, Elisa María Avelina",Cdad.Aut.Bs.As.
314,"CARRIO, Elisa María Avelina",Chaco
315,"CARRIZO, Ana Carla",Cdad.Aut.Bs.As.
316,"CARRIZO, María Soledad",Córdoba
317,"CARRIZO, Nilda Mabel",Tucumán
318,"CASANOVAS, Jorge Osvaldo",Buenos Aires
319,"CASAÑAS, Juan Francisco",Tucumán
320,"CASARI DE ALARCIA, Leonor",Córdoba
321,"CASELLA, Juan Manuel",Buenos Aires
322,"CASELLES, Graciela María",San Juan
323,"CASERIO, Carlos Alberto",Córdoba
324,"CASSESE, Marina",Buenos Aires
325,"CASTAGNETO, Carlos Daniel",Buenos Aires
326,"CASTALDO, Norah Susana",Tucumán
327,"CASTAÑON, Alfredo José",Cdad.Aut.Bs.As.
328,"CASTAÑON, Hugo",Rio Negro
329,"CASTELLANI, Carlos Alberto",Santa Fe
330,"CASTILLO, José Luis",Buenos Aires
331,"CASTILLO, Oscar Anibal",Catamarca
332,"CASTRO MOLINA, Enrique",San Juan
333,"CASTRO, Alicia Amalia",Buenos Aires
334,"CASTRO, Carlos José",Buenos Aires
335,"CASTRO, Sandra",San Juan
336,"CATALAN MAGNI, Julio César",Tierra del Fuego
337,"CAVADINI, Eduardo",Jujuy
338,"CAVALLARI, Juan José",Buenos Aires
339,"CAVALLERO, Hector José",Santa Fe
340,"CAVALLO, Domingo Felipe",Cdad.Aut.Bs.As.
341,"CAVIGLIA, Franco Agustin",Buenos Aires
342,"CEBALLOS de MARIN, Fani A.",Salta
343,"CEBALLOS, Walter Alberto",San Luis
344,"CECCO, Carlos Jaime",Entre Ríos
345,"CEJAS, Jorge Alberto",Rio Negro
346,"CERDAN, Argentina",Formosa
347,"CERDERA, Rogelio Rafael",San Juan
348,"CEREZO, Octavio Néstor",Catamarca
349,"CESAR, Nora",Buenos Aires
350,"CETTOUR, Hugo Ramón",Entre Ríos
351,"CHAYA, María Lelia",Salta
352,"CHEMES, Jorge Omar",Entre Ríos
353,"CHIACCHIO, Nora Alicia",Buenos Aires
354,"CHICA RODRIGUEZ, Juan José",San Juan
355,"CHIENO, María Elena",Corrientes
356,"CHIQUICHANO, Rosa Laudelina",Chubut
357,"CHIRONI, Fernando Gustavo",Rio Negro
358,"CIAMPINI, José Alberto",Neuquén
359,"CICARE, Miguel Angel",La Pampa
360,"CICILIANI, Alicia Mabel",Santa Fe
361,"CIGOGNA, Luis Francisco Jorge",Buenos Aires
362,"CISTERNA, Victor Hugo",Chubut
363,"CITTADINI, Stella",Córdoba
364,"CLERI, Marcos",Santa Fe
365,"CLOSS, Maurice",Misiones
366,"CLOSS, Ramón Alberto",Misiones
367,"COBOS, Julio",Mendoza
368,"COIRINI, Adriana Elsa",Buenos Aires
369,"COLLANTES, Genaro",Catamarca
370,"COLOMBI, Horacio Ricardo",Corrientes
371,"COLOMBI, Ricardo",Corrientes
372,"COLOMBO, María Teresita del Valle",Catamarca
373,"COLUCIGNO, Aurelia Alicia",Buenos Aires
374,"COMELLI, Alicia Marcela",Neuquén
375,"COMI, Carlos Marcelo",Santa Fe
376,"CONCA, Julio Cesar",San Juan
377,"CONESA, Eduardo Raúl",Cdad.Aut.Bs.As.
378,"CONTE GRAND, Gerardo Amadeo",Cdad.Aut.Bs.As.
379,"CONTI, Diana Beatriz",Buenos Aires
380,"CONTRERA, Mónica Graciela",Chubut
381,"COPES, Ana Isabel",Santa Fe
382,"CORCHUELO BLASCO, José Manuel",Chubut
383,"CORDOBA, José Manuel",Santa Cruz
384,"CORDOBA, Stella Maris",Tucumán
385,"CORFIELD, Guillermo Eduardo",Entre Ríos
386,"CORNEJO, Alfredo Victor",Mendoza
387,"CORREA, Elsa Haydee",Mendoza
388,"CORREA, Juan Carlos",Buenos Aires
389,"CORTINA, Roy",Cdad.Aut.Bs.As.
390,"CORTINAS, Ismael Ramón",Corrientes
391,"COSCIA, Jorge Edmundo",Cdad.Aut.Bs.As.
392,"COSSOS PEREZ, Juan Nicolás",Santiago del Estero
393,"COSTA, Eduardo Raúl",Santa Cruz
394,"COSTA, Roberto Raúl",Buenos Aires
395,"COTO, Alberto Agustín",Buenos Aires
396,"COULY, Veronica Carolina",Buenos Aires
397,"COUREL, Carlos Alberto",Tucumán
398,"COUSINET, Graciela",Mendoza
399,"CRAMARO, Hugo Arnaldo",Santiago del Estero
400,"CREMER de BUSTI, María Cristina",Entre Ríos
401,"CROSTELLI, Juan Carlos",Córdoba
402,"CRUCHAGA, Melchor René",Buenos Aires
403,"CRUZ, Washington Jesus",Jujuy
404,"CUCCOVILLO, Ricardo Oscar",Buenos Aires
405,"CUEVAS, Hugo Oscar",Rio Negro
406,"CURLETTI, Miriam Belén",Chaco
407,"CURRILEN, Oscar Rubén",Chubut
408,"CUSINATO, José César Gustavo",Entre Ríos
409,"D`ERRICO, María Rita Antonia",Buenos Aires
410,"DAER, Héctor Ricardo",Buenos Aires
411,"D'AGOSTINO, Jorge",Entre Ríos
412,"DAHER, Zulema Beatriz",Salta
413,"D'ALESSANDRO, Marcelo",Buenos Aires
